EventName,EventPageUrl,TextFileName,ImgUrl,SocietyUrl
Yurtdışı Eğitim Programı,https://kampusetkinlikleri.com/etkinlik/1159/yurtdisi-egitim-programi,-3825439826583301250,img/Etkinlik/Big/yurtdisi-egitim-programi-20181011-121815.jpg,https://kampusetkinlikleri.com/kulup-sayfasi/371/liderler-kulubu
HitTalks ''Yol Arkadaşım 2 : Oğuzhan Koç&İbrahim Büyükak'',https://kampusetkinlikleri.com/etkinlik/1156/hittalks-yol-arkadasim-2-oguzhan-koc-ibrahim-buyukak,3558133709272793318,img/Etkinlik/Big/hittalks-yol-arkadasim-2-oguzhan-koc-ibrahim-buyukak-20181010-195322.jpg,https://kampusetkinlikleri.com/kulup-sayfasi/211/hacettepe-isletme-toplulugu
Söz Dizi Ekibi Söyleşisi,https://kampusetkinlikleri.com/etkinlik/1173/soz-dizi-ekibi-soylesisi,4995148415145749793,img/Etkinlik/Big/soz-dizi-ekibi-soylesisi-20181014-210051.jpg,https://kampusetkinlikleri.com/kulup-sayfasi/354/yildiz-isletme-kulubu
KTÜYE MERHABA PARTİSİ,https://kampusetkinlikleri.com/etkinlik/1250/ktuye-merhaba-partisi,3713703482485001879,img/Etkinlik/Big/ktuye-merhaba-partisi-20181224-123034.jpg,https://kampusetkinlikleri.com/kulup-sayfasi/82/isletme-ve-ekonomi-kulubu
Ortak Değerler Hareketi - Değerler Atölyesi ,https://kampusetkinlikleri.com/etkinlik/1152/ortak-degerler-hareketi---degerler-atolyesi,-6455971667303308239,img/Etkinlik/Big/ortak-degerler-hareketi---degerler-atolyesi-20181007-222354.jpg,https://kampusetkinlikleri.com/kulup-sayfasi/243/engineering-society-of-eskisehir
Günübirlik Darende-Gürün Gezisi,https://kampusetkinlikleri.com/etkinlik/1153/gunubirlik-darende-gurun-gezisi,813008204072557035,img/Etkinlik/Big/gunubirlik-darende-gurun-gezisi-20181008-155833.jpg,https://kampusetkinlikleri.com/kulup-sayfasi/183/kayseri-student-life
LANSMAN,https://kampusetkinlikleri.com/etkinlik/1249/lansman,-573713798853665449,img/Etkinlik/Big/lansman-20181224-122540.jpg,https://kampusetkinlikleri.com/kulup-sayfasi/82/isletme-ve-ekonomi-kulubu
Figbrands İlk Adım,https://kampusetkinlikleri.com/etkinlik/1167/figbrands-ilk-adim,-663127928241959555,img/Etkinlik/Big/figbrands-ilk-adim-20181011-235638.jpg,https://kampusetkinlikleri.com/kulup-sayfasi/333/fikir-ile-gelecek
İTÜ Denetim ve Danışmanlık Kulübü Tanışma Kahvesi,https://kampusetkinlikleri.com/etkinlik/1168/itu-denetim-ve-danismanlik-kulubu-tanisma-kahvesi,-5154101441352993245,img/Etkinlik/Big/itu-denetim-ve-danismanlik-kulubu-tanisma-kahvesi-20181012-112254.jpg,https://kampusetkinlikleri.com/kulup-sayfasi/65/denetim-ve-danismanlik-kulubu
KTÜ İşletme ve Ekonomi Kulübü Oryantasyon Gezisi,https://kampusetkinlikleri.com/etkinlik/1146/ktu-isletme-ve-ekonomi-kulubu-oryantasyon-gezisi,17945989703693128,img/Etkinlik/Big/ktu-isletme-ve-ekonomi-kulubu-oryantasyon-gezisi-20180924-110057.jpg,https://kampusetkinlikleri.com/kulup-sayfasi/82/isletme-ve-ekonomi-kulubu
